Monday F 1 20
Monday F 2 70
Monday F 3 2
Monday F 4 89
Monday F 5 77
Monday F 6 26
Monday F 7 5
Monday F 8 84
Monday T 9 54
Monday T 10 51
Monday T 11 74
Monday T 12 31
Monday T 13 72
Monday T 14 63
Monday T 15 65
Monday T 16 94
Monday T 17 87
Monday T 18 78
Monday T 19 72
Monday T 20 66
Monday T 21 98
Monday T 22 23
Monday T 23 54
Monday T 24 41
Tuesday F 1 77
Tuesday F 2 58
Tuesday F 3 89
Tuesday F 4 31
Tuesday F 5 6
Tuesday F 6 63
Tuesday F 7 11
Tuesday F 8 75
Tuesday T 9 10
Tuesday T 10 29
Tuesday T 11 51
Tuesday T 12 89
Tuesday T 13 92
Tuesday T 14 33
Tuesday T 15 30
Tuesday T 16 12
Tuesday T 17 19
Tuesday T 18 48
Tuesday T 19 8
Tuesday T 20 23
Tuesday T 21 100
Tuesday T 22 41
Tuesday T 23 21
Tuesday T 24 11
Wednesday F 1 32
Wednesday F 2 65
Wednesday F 3 84
Wednesday F 4 27
Wednesday F 5 16
Wednesday F 6 73
Wednesday F 7 51
Wednesday F 8 83
Wednesday T 9 14
Wednesday T 10 51
Wednesday T 11 47
Wednesday T 12 11
Wednesday T 13 16
Wednesday T 14 26
Wednesday T 15 81
Wednesday T 16 29
Wednesday T 17 16
Wednesday T 18 38
Wednesday T 19 17
Wednesday T 20 95
Wednesday T 21 42
Wednesday T 22 27
Wednesday T 23 59
Wednesday T 24 92
Thursday F 1 15
Thursday F 2 25
Thursday F 3 22
Thursday F 4 23
Thursday F 5 68
Thursday F 6 75
Thursday F 7 36
Thursday F 8 31
Thursday T 9 77
Thursday T 10 76
Thursday T 11 26
Thursday T 12 43
Thursday T 13 56
Thursday T 14 52
Thursday T 15 56
Thursday T 16 73
Thursday T 17 13
Thursday T 18 22
Thursday T 19 59
Thursday T 20 61
Thursday T 21 101
Thursday T 22 64
Thursday T 23 16
Thursday T 24 101
Friday F 1 30
Friday F 2 2
Friday F 3 40
Friday F 4 65
Friday F 5 68
Friday F 6 29
Friday F 7 3
Friday F 8 67
Friday T 9 23
Friday T 10 55
Friday T 11 36
Friday T 12 31
Friday T 13 44
Friday T 14 83
Friday T 15 39
Friday T 16 19
Friday T 17 60
Friday T 18 99
Friday T 19 26
Friday T 20 81
Friday T 21 61
Friday T 22 23
Friday T 23 26
Friday T 24 12
Saturday F 1 73
Saturday F 2 86
Saturday F 3 44
Saturday F 4 68
Saturday F 5 90
Saturday F 6 15
Saturday F 7 76
Saturday F 8 46
Saturday T 9 60
Saturday T 10 96
Saturday T 11 71
Saturday T 12 57
Saturday T 13 90
Saturday T 14 48
Saturday T 15 30
Saturday T 16 81
Saturday T 17 51
Saturday T 18 44
Saturday T 19 21
Saturday T 20 74
Saturday T 21 20
Saturday T 22 50
Saturday T 23 67
Saturday T 24 70
Sunday F 1 9
Sunday F 2 88
Sunday F 3 86
Sunday F 4 84
Sunday F 5 8
Sunday F 6 86
Sunday F 7 34
Sunday F 8 87
Sunday T 9 99
Sunday T 10 43
Sunday T 11 40
Sunday T 12 19
Sunday T 13 68
Sunday T 14 2
Sunday T 15 65
Sunday T 16 58
Sunday T 17 94
Sunday T 18 94
Sunday T 19 93
Sunday T 20 101
Sunday T 21 80
Sunday T 22 93
Sunday T 23 34
Sunday T 24 1
