Monday F 1 5
Monday F 2 94
Monday F 3 62
Monday F 4 2
Monday F 5 73
Monday F 6 41
Monday F 7 42
Monday F 8 66
Monday T 9 39
Monday T 10 29
Monday T 11 48
Monday T 12 68
Monday T 13 53
Monday T 14 98
Monday T 15 44
Monday T 16 14
Monday T 17 25
Monday T 18 87
Monday T 19 60
Monday T 20 43
Monday T 21 67
Monday T 22 6
Monday T 23 91
Monday T 24 78
Tuesday F 1 33
Tuesday F 2 63
Tuesday F 3 67
Tuesday F 4 63
Tuesday F 5 47
Tuesday F 6 1
Tuesday F 7 16
Tuesday F 8 69
Tuesday T 9 48
Tuesday T 10 71
Tuesday T 11 5
Tuesday T 12 14
Tuesday T 13 14
Tuesday T 14 86
Tuesday T 15 72
Tuesday T 16 6
Tuesday T 17 42
Tuesday T 18 41
Tuesday T 19 65
Tuesday T 20 62
Tuesday T 21 8
Tuesday T 22 34
Tuesday T 23 46
Tuesday T 24 19
Wednesday F 1 95
Wednesday F 2 71
Wednesday F 3 10
Wednesday F 4 70
Wednesday F 5 76
Wednesday F 6 1
Wednesday F 7 46
Wednesday F 8 21
Wednesday T 9 13
Wednesday T 10 34
Wednesday T 11 19
Wednesday T 12 89
Wednesday T 13 36
Wednesday T 14 37
Wednesday T 15 15
Wednesday T 16 64
Wednesday T 17 94
Wednesday T 18 7
Wednesday T 19 52
Wednesday T 20 42
Wednesday T 21 44
Wednesday T 22 86
Wednesday T 23 54
Wednesday T 24 45
Thursday F 1 32
Thursday F 2 81
Thursday F 3 93
Thursday F 4 57
Thursday F 5 92
Thursday F 6 28
Thursday F 7 54
Thursday F 8 40
Thursday T 9 89
Thursday T 10 38
Thursday T 11 79
Thursday T 12 99
Thursday T 13 13
Thursday T 14 49
Thursday T 15 16
Thursday T 16 11
Thursday T 17 81
Thursday T 18 40
Thursday T 19 37
Thursday T 20 79
Thursday T 21 71
Thursday T 22 95
Thursday T 23 29
Thursday T 24 14
Friday F 1 0
Friday F 2 89
Friday F 3 69
Friday F 4 74
Friday F 5 61
Friday F 6 36
Friday F 7 46
Friday F 8 85
Friday T 9 38
Friday T 10 12
Friday T 11 89
Friday T 12 28
Friday T 13 82
Friday T 14 4
Friday T 15 73
Friday T 16 97
Friday T 17 93
Friday T 18 29
Friday T 19 69
Friday T 20 0
Friday T 21 63
Friday T 22 11
Friday T 23 27
Friday T 24 83
Saturday F 1 72
Saturday F 2 9
Saturday F 3 92
Saturday F 4 17
Saturday F 5 29
Saturday F 6 88
Saturday F 7 16
Saturday F 8 71
Saturday T 9 43
Saturday T 10 39
Saturday T 11 66
Saturday T 12 64
Saturday T 13 99
Saturday T 14 46
Saturday T 15 91
Saturday T 16 31
Saturday T 17 69
Saturday T 18 55
Saturday T 19 56
Saturday T 20 54
Saturday T 21 87
Saturday T 22 22
Saturday T 23 36
Saturday T 24 87
Sunday F 1 1
Sunday F 2 20
Sunday F 3 96
Sunday F 4 98
Sunday F 5 7
Sunday F 6 44
Sunday F 7 14
Sunday F 8 56
Sunday T 9 0
Sunday T 10 89
Sunday T 11 45
Sunday T 12 31
Sunday T 13 50
Sunday T 14 11
Sunday T 15 80
Sunday T 16 12
Sunday T 17 20
Sunday T 18 85
Sunday T 19 50
Sunday T 20 8
Sunday T 21 54
Sunday T 22 76
Sunday T 23 76
Sunday T 24 80
